userid,wid,tenure,weight,date,financial_past_12m,financial_12m,prob_move_house,prob_unrate_up,prob_irate_up,prob_stocks_up,infl_1y,infl_1y_bin_mean,infl_1y_bin_var,infl_1y_bin_median,infl_1y_bin_iqr,infl_1y_bin_prob_defl,infl_3y,infl_3y_bin_mean,infl_3y_bin_var,infl_3y_bin_median,infl_3y_bin_iqr,infl_3y_bin_prob_defl,infl_5y,working,num_jobs,self_employed,prob_lose_job,prob_leave_job,looking_for_job,prob_accept_job_12m,prob_accept_job_3m,jobless_length,prob_search_job_12m,prob_search_job_3m,earnings_change,hh_inc_change,hh_spending_change,taxes_change,credit_cond_past_12m,credit_cond_12m,prob_miss_paym_3m,house_price_change,house_price_change_3y,govt_debt_change,num_lit_q1,num_lit_q1_correct,num_lit_q2,num_lit_q2_correct,num_lit_q3,num_lit_q3_correct,num_lit_q5,num_lit_q5_correct,num_lit_q6,num_lit_q6_correct,num_lit_q8,num_lit_q8_correct,num_lit_q9,num_lit_q9_correct,age_init,female,hispanic,black,educ,owner,health,take_fin_risk,hh_changed,num_kids,same_employer,couple,hh_inc_bin,hh_inc_bin_rank
70121500,202201,12,2.51,2022-01-12,3,4,31.00,19.00,2.00,75.00,3.00,3.81,0.55,3.81,1.06,0.00,4.00,4.45,3.10,4.53,2.72,0.00,3.00,1,1.00,0.00,2.00,1.00,0,,,,,,5.00,5.00,3.00,2.00,2.00,2.00,1.00,4.00,4.00,3.00,,,,,,,,,,,,,,,42.00,0.00,1.00,0.00,2.00,,,6.00,0,0.00,1.00,1.00,10.00,81.90
70121584,202201,11,2.15,2022-01-24,3,3,0.00,50.00,25.00,0.00,35.00,25.00,56.33,25.00,13.00,0.00,35.00,25.00,56.33,25.00,13.00,0.00,35.00,0,,,,,1,100.00,35.00,365.00,,,,-35.00,0.00,25.00,1.00,1.00,0.00,35.00,35.00,25.00,,,,,,,,,,,,,,,37.00,1.00,1.00,0.00,2.00,,,7.00,0,3.00,,1.00,4.00,20.80
70121597,202201,12,2.20,2022-01-16,5,4,24.00,50.00,50.00,61.00,12.00,11.49,14.32,12.03,6.06,0.00,15.00,12.45,8.99,12.95,4.66,0.00,10.00,1,1.00,0.00,2.00,30.00,0,,,,,,6.00,5.00,5.00,3.00,3.00,1.00,4.00,12.00,-25.00,30.00,,,,,,,,,,,,,,,31.00,0.00,0.00,0.00,2.00,,,4.00,0,0.00,1.00,1.00,8.00,53.70
70121604,202201,12,0.65,2022-01-25,3,4,90.00,24.00,60.00,75.00,2.00,5.03,16.57,4.36,5.50,7.40,3.00,2.85,11.60,2.37,4.59,21.47,4.00,1,1.00,0.00,1.00,90.00,0,,,,,,10.00,30.00,3.00,7.00,3.00,3.00,0.00,7.00,3.00,10.00,,,,,,,,,,,,,,,26.00,0.00,0.00,0.00,4.00,,,2.00,0,0.00,1.00,0.00,4.00,20.80
70121633,202201,12,0.79,2022-01-06,4,4,0.00,19.00,0.00,50.00,-5.00,-0.91,4.92,-0.96,3.15,65.73,-6.00,-0.31,5.21,-0.24,3.19,54.09,-8.00,0,,,,,0,,,,,,,10.00,10.00,6.00,3.00,3.00,0.00,5.00,-5.00,5.00,,,,,,,,,,,,,,,58.00,0.00,0.00,0.00,3.00,,,1.00,0,0.00,,0.00,4.00,20.80
70121709,202201,12,0.67,2022-01-09,3,2,0.00,20.00,90.00,35.00,4.00,2.67,2.07,2.64,1.98,2.71,2.00,1.86,1.11,1.82,1.46,3.10,2.00,0,,,,,0,,,,0.00,0.00,,2.00,2.00,3.00,4.00,3.00,0.00,4.00,2.00,5.00,,,,,,,,,,,,,,,69.00,0.00,0.00,0.00,4.00,,,2.00,0,0.00,,1.00,4.00,20.80
70121721,202201,11,0.60,2022-01-13,5,5,100.00,25.00,75.00,50.00,8.00,8.00,2.67,8.00,2.34,0.00,4.00,4.00,0.67,4.00,1.17,0.00,3.00,1,1.00,0.00,0.00,0.00,0,,,,,,50.00,75.00,40.00,15.00,3.00,3.00,0.00,5.00,4.00,5.00,,,,,,,,,,,,,,,28.00,0.00,0.00,0.00,4.00,,,7.00,0,0.00,0.00,1.00,10.00,81.90
70121786,202201,12,2.61,2022-01-22,3,3,0.00,0.00,2.00,2.00,4.00,6.00,1.33,6.00,2.00,0.00,2.00,6.00,1.33,6.00,2.00,0.00,2.00,0,,,,,0,,,,0.00,0.00,,0.00,4.00,0.00,3.00,3.00,0.00,4.00,4.00,4.00,,,,,,,,,,,,,,,73.00,1.00,0.00,0.00,2.00,,,2.00,0,0.00,,0.00,4.00,20.80
70121807,202201,10,0.45,2022-01-13,3,4,20.00,12.00,3.00,7.00,10.00,10.92,1.43,10.92,1.71,0.00,10.00,10.82,1.33,10.82,1.65,0.00,-3.00,1,1.00,0.00,3.00,5.00,0,,,,,,1.00,3.00,-2.00,3.00,2.00,2.00,5.00,2.00,3.00,15.00,,,,,,,,,,,,,,,42.00,1.00,0.00,1.00,4.00,,,6.00,0,2.00,1.00,0.00,7.00,42.50
70121874,202201,12,2.38,2022-01-06,4,4,0.00,50.00,20.00,10.00,10.00,0.83,92.28,0.27,13.84,48.95,10.00,0.21,79.92,0.74,12.75,46.92,10.00,0,,,,,0,,,,0.00,0.00,,5.00,10.00,15.00,2.00,3.00,0.00,10.00,10.00,10.00,,,,,,,,,,,,,,,53.00,1.00,0.00,0.00,2.00,,,4.00,0,0.00,,1.00,9.00,68.80
70121931,202201,7,0.60,2022-01-06,4,4,11.00,50.00,21.00,70.00,5.00,4.49,5.40,4.13,3.08,0.00,3.00,2.99,2.35,3.01,2.52,0.00,3.00,1,1.00,0.00,6.00,6.00,0,,,,,,20.00,25.00,10.00,5.00,3.00,3.00,0.00,6.00,4.00,10.00,,,,,,,,,,,,,,,57.00,0.00,0.00,0.00,4.00,,,4.00,0,1.00,0.00,1.00,11.00,94.60
70121948,202201,12,0.63,2022-01-27,4,3,70.00,38.00,62.00,34.00,2.00,1.57,2.50,1.75,2.59,19.83,2.00,4.00,5.33,4.00,4.00,0.00,5.00,1,1.00,0.00,17.00,20.00,0,,,,,,3.00,6.00,2.00,2.00,2.00,4.00,0.00,-2.00,5.00,8.00,,,,,,,,,,,,,,,32.00,0.00,0.00,0.00,4.00,,,5.00,0,0.00,1.00,0.00,10.00,81.90
