Date,USSTHPI
2010-01-01,325.76
2010-04-01,322.8
2010-07-01,325.92
2010-10-01,323.61
2011-01-01,314.62
2011-04-01,309.06
2011-07-01,311.36
2011-10-01,312.8
2012-01-01,309.52
2012-04-01,308.11
2012-07-01,312.2
2012-10-01,314.66
2013-01-01,316.21
2013-04-01,321.03
2013-07-01,325.58
2013-10-01,328.17
2014-01-01,330.83
2014-04-01,337.25
2014-07-01,342.11
2014-10-01,344.87
2015-01-01,348.69
2015-04-01,354.33
2015-07-01,359.34
2015-10-01,362.21
2016-01-01,365.55
2016-04-01,372.36
2016-07-01,379.02
2016-10-01,381.94
2017-01-01,384.62
2017-04-01,393.22
2017-07-01,399.28
2017-10-01,402.59
2018-01-01,408.22
2018-04-01,415.71
2018-07-01,420.8
2018-10-01,422.21
2019-01-01,426.96
2019-04-01,434.1
2019-07-01,439.63
2019-10-01,443.54
2020-01-01,448.69
2020-04-01,453.22
2020-07-01,461.22
2020-10-01,471.32
2021-01-01,482.74
2021-04-01,509.53
2021-07-01,537.9
2021-10-01,556.24
2022-01-01,576.53
2022-04-01,613.79
2022-07-01,623.31
2022-10-01,616.89
2023-01-01,620.53
2023-04-01,638.74
2023-07-01,649.43
2023-10-01,649.87
2024-01-01,659.33
2024-04-01,675.22
2024-07-01,682.41
2024-10-01,685.93
2025-01-01,691.36
