userid,wid,date,infl_1y,house_price_change,prob_unrate_up,prob_stocks_up,financial_past_12m,financial_12m,credit_cond_past_12m,credit_cond_12m,prob_miss_paym_3m,working,hh_inc_change,hh_spending_change,taxes_change,hh_inc_bin_rank,age_init,female,hispanic,black,educ,owner,num_kids,couple,optimist_unrate,optimist_stocks,optimist_house_price
70000339,201306,2013-06-05,5.0,10.0,20.0,30.0,2,3,4.0,3.0,70.0,1,-15.0,10.0,5.0,79.6,52.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1,0,1
70000339,201308,2013-08-02,5.0,8.0,50.0,40.0,2,2,4.0,3.0,80.0,1,-15.0,12.0,7.0,78.7,52.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0,0,1
70000339,201309,2013-09-04,8.0,5.0,50.0,40.0,2,2,4.0,3.0,50.0,1,-15.0,8.0,5.0,78.7,52.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0,0,1
70000341,201306,2013-06-05,3.0,5.0,40.0,60.0,4,4,4.0,4.0,1.0,1,10.0,20.0,3.0,79.6,45.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1,1,1
70000341,201307,2013-07-03,2.0,10.0,51.0,60.0,4,4,4.0,4.0,2.0,1,5.0,5.0,3.0,65.5,45.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,0,1,1
70000341,201308,2013-08-02,10.0,15.0,30.0,51.0,4,4,4.0,4.0,9.0,1,10.0,5.0,3.0,78.7,45.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1,1,1
70000341,201309,2013-09-08,10.0,15.0,30.0,50.0,4,4,4.0,4.0,3.0,1,20.0,25.0,5.0,65.5,45.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1,0,1
70000341,201310,2013-10-09,10.0,5.0,55.0,50.0,4,4,4.0,4.0,2.0,1,8.0,15.0,3.0,78.7,45.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,0,0,1
70003183,201306,2013-06-11,10.0,5.0,30.0,10.0,3,3,1.0,1.0,20.0,1,3.0,5.0,3.0,46.3,58.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,1,0,1
70003183,201307,2013-07-29,6.0,-3.0,40.0,10.0,3,3,2.0,2.0,10.0,1,3.0,5.0,3.0,45.4,58.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,1,0,0
70003189,201306,2013-06-02,7.0,10.0,6.0,43.0,4,4,2.0,1.0,0.0,0,5.0,3.0,-10.0,96.9,56.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,1,0,1
70003202,201306,2013-06-21,2.3,12.0,34.0,50.0,4,3,4.0,4.0,0.0,0,35.0,45.0,5.0,11.0,64.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,1,0,1
70003202,201308,2013-08-19,2.5,12.0,30.0,45.0,4,4,3.0,3.0,0.0,0,45.0,65.0,2.0,19.6,64.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,1,0,1
70003202,201309,2013-09-20,3.0,5.0,40.0,40.0,3,4,3.0,2.0,0.0,0,45.0,40.0,5.0,19.6,64.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,1,0,1
70003202,201310,2013-10-22,2.0,10.0,25.0,35.0,3,3,4.0,3.0,0.0,0,40.0,40.0,40.0,19.6,64.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,1,0,1
70003205,201306,2013-06-15,4.0,10.0,10.0,10.0,3,3,3.0,3.0,0.0,0,-2.0,-3.0,5.0,66.6,71.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,1,0,1
70003205,201307,2013-07-12,3.0,15.0,10.0,5.0,3,3,3.0,3.0,0.0,0,3.0,3.0,6.0,65.5,71.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,1,0,1
70003205,201308,2013-08-10,3.0,6.0,10.0,40.0,3,3,3.0,3.0,0.0,0,1.5,3.0,5.0,65.5,71.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,1,0,1
70003205,201310,2013-10-04,4.0,5.0,50.0,50.0,3,2,3.0,3.0,0.0,0,3.0,5.0,6.0,65.5,71.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0,0,1
70003208,201306,2013-06-03,2.0,10.0,81.0,80.0,4,3,4.0,4.0,11.0,0,-10.0,10.0,3.0,66.6,70.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0,1,1
70003208,201307,2013-07-12,1.0,10.0,9.0,51.0,4,4,4.0,4.0,0.0,0,-3.0,3.0,-2.0,65.5,70.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1,1,1
70003208,201308,2013-08-05,2.0,10.0,81.0,80.0,4,4,4.0,4.0,0.0,0,5.0,5.0,2.0,78.7,70.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0,1,1
70003208,201309,2013-09-03,2.0,15.0,50.0,60.0,3,4,2.0,3.0,0.0,0,-10.0,10.0,2.0,65.5,70.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0,1,1
70003225,201306,2013-06-11,4.0,10.0,20.0,50.0,3,3,4.0,4.0,10.0,0,3.0,5.0,0.3,55.3,82.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1,0,1
70003231,201307,2013-07-23,3.0,15.0,45.0,65.0,4,4,4.0,4.0,1.0,1,5.0,3.0,20.0,96.7,50.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1,1,1
70003238,201306,2013-06-11,3.0,10.0,10.0,25.0,3,3,3.0,3.0,0.0,0,2.0,5.0,10.0,20.1,58.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1,0,1
70003238,201308,2013-08-11,3.0,10.0,50.0,25.0,3,2,3.0,3.0,0.0,0,-3.0,5.0,5.0,28.7,58.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0,0,1
70003238,201309,2013-09-05,3.0,5.0,25.0,25.0,3,3,2.0,2.0,0.0,0,1.0,3.0,3.0,28.7,58.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1,0,1
70003238,201310,2013-10-03,3.0,5.0,10.0,25.0,3,2,3.0,3.0,0.0,0,1.0,5.0,5.0,28.7,58.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1,0,1
70003242,201306,2013-06-10,-3.0,10.0,50.0,50.0,3,3,2.0,3.0,5.0,1,0.0,7.0,0.0,66.6,41.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0,0,1
70003252,201306,2013-06-05,4.0,10.0,5.0,5.0,4,3,4.0,4.0,0.0,1,4.0,6.0,5.0,66.6,65.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1,0,1
