userid,wid,tenure,weight,date,financial_past_12m,financial_12m,prob_move_house,prob_unrate_up,prob_irate_up,prob_stocks_up,infl_1y,infl_1y_bin_mean,infl_1y_bin_var,infl_1y_bin_median,infl_1y_bin_iqr,infl_1y_bin_prob_defl,infl_3y,infl_3y_bin_mean,infl_3y_bin_var,infl_3y_bin_median,infl_3y_bin_iqr,infl_3y_bin_prob_defl,infl_5y,working,num_jobs,self_employed,prob_lose_job,prob_leave_job,looking_for_job,prob_accept_job_12m,prob_accept_job_3m,jobless_length,prob_search_job_12m,prob_search_job_3m,earnings_change,hh_inc_change,hh_spending_change,taxes_change,credit_cond_past_12m,credit_cond_12m,prob_miss_paym_3m,house_price_change,house_price_change_3y,govt_debt_change,num_lit_q1,num_lit_q1_correct,num_lit_q2,num_lit_q2_correct,num_lit_q3,num_lit_q3_correct,num_lit_q5,num_lit_q5_correct,num_lit_q6,num_lit_q6_correct,num_lit_q8,num_lit_q8_correct,num_lit_q9,num_lit_q9_correct,age_init,female,hispanic,black,educ,owner,health,take_fin_risk,hh_changed,num_kids,same_employer,couple,hh_inc_bin,hh_inc_bin_rank
75010503,202401,12,1.35,2024-01-03,1,1,1.00,55.00,42.00,60.00,7.00,8.05,24.00,7.22,6.75,0.00,5.00,5.68,22.10,4.86,6.41,7.98,5.00,0,,,,,0,,,,0.00,1.00,,1.00,15.00,10.00,2.00,2.00,0.00,5.00,10.00,2.00,,,,,,,,,,,,,,,82.00,1.00,0.00,0.00,3.00,,,2.00,0,1.00,,0.00,7.00,37.30
75010523,202401,12,0.54,2024-01-14,3,3,2.00,10.00,50.00,60.00,5.00,4.37,4.46,4.20,3.09,0.00,-2.00,-0.21,1.02,-0.14,1.47,55.00,-5.00,1,1.00,0.00,1.00,30.00,0,,,,,,5.00,10.00,5.00,2.00,3.00,3.00,2.00,-8.00,-10.00,5.00,,,,,,,,,,,,,,,36.00,0.00,0.00,0.00,4.00,,,2.00,0,0.00,1.00,1.00,9.00,63.60
75010524,202401,12,0.51,2024-01-05,3,3,0.00,60.00,40.00,50.00,2.00,1.00,1.20,1.00,1.62,20.00,-2.00,1.00,1.20,1.00,1.62,20.00,3.00,1,1.00,0.00,19.00,21.00,0,,,,,,4.00,3.00,2.00,3.00,3.00,3.00,11.00,6.00,3.00,7.00,,,,,,,,,,,,,,,58.00,1.00,0.00,0.00,4.00,,,5.00,0,0.00,1.00,1.00,11.00,93.10
75010536,202401,12,0.88,2024-01-05,4,4,12.00,31.00,20.00,60.00,3.00,3.02,1.29,2.95,1.61,0.00,3.50,2.79,0.81,2.74,1.26,0.00,3.00,0,,,,,0,,,,10.00,12.00,,3.00,1.00,-2.00,2.00,3.00,12.00,1.00,4.00,3.00,,,,,,,,,,,,,,,73.00,0.00,0.00,0.00,4.00,,,5.00,0,0.00,,1.00,8.00,48.10
75010543,202401,12,1.35,2024-01-13,2,2,11.00,59.00,12.00,10.00,35.00,25.00,56.33,25.00,13.00,0.00,20.00,25.00,56.33,25.00,13.00,0.00,15.00,0,,,,,0,,,,,,,4.00,35.00,15.00,2.00,2.00,100.00,210.00,12.00,22.00,,,,,,,,,,,,,,,67.00,1.00,0.00,0.00,3.00,,,3.00,0,0.00,,1.00,8.00,48.10
75010544,202401,11,1.24,2024-01-02,2,2,0.00,25.00,25.00,25.00,12.00,12.02,21.60,12.00,8.03,0.00,12.00,12.02,21.60,12.00,8.03,0.00,12.00,0,,,,,0,,,,0.00,0.00,,-1.00,5.00,5.00,3.00,3.00,0.00,5.00,5.00,20.00,,,,,,,,,,,,,,,74.00,1.00,0.00,0.00,3.00,,,1.00,0,0.00,,1.00,7.00,37.30
75010573,202401,12,0.80,2024-01-14,2,2,4.00,35.00,22.00,36.00,35.00,5.05,6.19,4.90,3.77,0.00,-25.00,-2.46,2.70,-2.18,2.45,100.00,-12.00,1,2.00,0.00,16.00,26.00,0,,,,,,8.00,12.00,18.00,15.00,2.00,2.00,10.00,15.00,12.00,22.00,,,,,,,,,,,,,,,56.00,1.00,0.00,0.00,3.00,,,2.00,0,0.00,1.00,0.00,5.00,23.70
75010576,202401,12,0.40,2024-01-02,3,3,3.00,78.00,66.00,40.00,4.00,3.51,11.91,3.35,4.71,15.66,3.00,3.41,11.49,3.24,4.62,15.89,2.00,1,1.00,0.00,2.00,4.00,0,,,,,,3.00,3.00,2.00,3.00,2.00,2.00,0.00,2.00,3.00,5.00,,,,,,,,,,,,,,,40.00,0.00,0.00,0.00,4.00,,,5.00,0,2.00,1.00,1.00,11.00,93.10
75010609,202401,12,1.58,2024-01-20,3,3,0.00,10.00,5.00,60.00,3.00,3.20,0.57,3.18,1.04,0.00,3.00,5.57,3.15,5.92,2.68,0.00,3.00,0,,,,,0,,,,0.00,0.00,,3.00,3.00,0.00,4.00,3.00,0.00,15.00,15.00,5.00,,,,,,,,,,,,,,,81.00,0.00,0.00,0.00,3.00,,,2.00,0,0.00,,1.00,5.00,23.70
75010617,202401,9,0.54,2024-01-21,2,3,2.00,30.00,10.00,30.00,5.00,3.12,27.12,4.57,6.59,22.70,5.00,3.12,27.12,4.57,6.59,22.70,5.00,1,1.00,0.00,10.00,10.00,0,,,,,,5.00,5.00,5.00,-5.00,4.00,4.00,1.00,5.00,5.00,5.00,,,,,,,,,,,,,,,34.00,0.00,0.00,0.00,4.00,,,3.00,0,1.00,1.00,1.00,11.00,93.10
